PCODE,centrallon,centrallat
MX16031,-100.28934,20.14734
MX16032,-101.72521,19.61979
MX16033,-102.00714,19.15882
MX16034,-100.67790,19.61260
MX16035,-101.92116,18.84196
MX16036,-101.27777,19.99613
MX16037,-101.49648,19.89195
MX16038,-101.10506,18.65387
MX16039,-101.45706,19.52154
MX16040,-100.94216,19.76602
MX16041,-100.46800,19.71680
MX16042,-102.40572,20.15136
MX16043,-102.31600,19.93494
MX16044,-101.70439,19.92683
MX16045,-102.75341,19.97750
MX16046,-100.46018,19.29282
MX16047,-100.51869,19.43334
MX16048,-101.41119,19.57800
MX16049,-101.17022,19.34247
MX16050,-100.42895,19.88944
MX16051,-102.96783,20.04482
MX16052,-102.37653,18.08954
MX16053,-101.27912,19.66658
MX16054,-101.44300,19.98983
MX16055,-102.12380,18.97110
MX16056,-101.87955,19.64518
MX16057,-101.21593,19.09349
MX16058,-102.19573,19.40824
MX16059,-101.86368,19.15912
MX16060,-101.95975,20.25068
MX16061,-100.33277,19.57718
MX16062,-102.52574,20.14516
MX16063,-101.78165,20.00174
MX16064,-102.21229,19.06206
MX16065,-102.07105,19.65413
MX16066,-101.59902,19.49450
MX16067,-101.89561,20.10384
MX16068,-102.45261,19.49529
MX16069,-102.07231,20.30558
MX16070,-101.99201,19.91072
MX16071,-101.52803,20.11571
MX16072,-100.84677,19.72648
MX16073,-101.53867,19.69518
MX16074,-102.87923,20.11195
MX16075,-102.39534,19.65284
MX16076,-102.76630,20.05514
MX16077,-100.76288,18.56726
MX16078,-101.03889,20.03925
MX16079,-101.68808,19.38121
MX16080,-100.34233,19.74618
MX16081,-100.40687,19.19120
MX16082,-101.45202,19.25484
MX16083,-102.34701,19.33114
MX16084,-102.45365,19.89025
MX16085,-102.24868,19.87260
MX16086,-102.34178,20.25925
MX16087,-101.89511,19.32931
MX16088,-101.15753,19.81644
MX16089,-102.85833,19.06823
MX16090,-101.85065,19.51389
MX16091,-102.50042,19.78673
MX16092,-100.79538,19.05718
MX16093,-100.20658,19.77989
MX16094,-102.06088,20.00592
MX16095,-102.59370,19.64640
MX16096,-102.51005,18.55027
MX16097,-101.42212,18.93208
MX16098,-100.48788,19.56833
MX16099,-100.61795,19.22180
MX16100,-101.54953,19.60995
MX16101,-100.91401,19.43162
MX16102,-102.10565,19.44364
MX16103,-102.66620,20.14306
MX16104,-102.58640,19.99376
MX16105,-102.46983,20.26622
MX16106,-102.21951,20.29927
MX16107,-101.82787,19.82414
MX16108,-102.26407,20.03298
MX16109,-102.01155,20.18248
MX16110,-100.76929,19.87071
MX16111,-101.90904,19.42853
MX16112,-100.33795,19.43823
MX16113,-101.56693,20.25692
MX17001,-99.38668,18.59000
MX17002,-98.89450,18.93505
MX17003,-98.75211,18.52524
MX17004,-98.97798,18.71725
MX17005,-99.44578,18.73183
MX17006,-98.95696,18.83114
MX17007,-99.26304,18.93889
MX17008,-99.18090,18.81375
MX17009,-99.23663,19.05759
MX17010,-98.76471,18.68540
MX17011,-99.16646,18.88519
MX17012,-99.22125,18.58678
MX17013,-98.80941,18.66376
MX17014,-99.36541,18.68590
MX17015,-99.35518,18.80296
MX17016,-98.78096,18.88157
MX17017,-99.28567,18.57779
MX17018,-99.27223,18.84252
MX17019,-98.89425,18.57478
MX17020,-99.10518,18.98130
MX17021,-99.41239,18.69275
MX17022,-98.70820,18.90553
MX17023,-98.99024,19.03871
MX17024,-99.10825,18.70495
MX17025,-99.07473,18.49913
MX17026,-98.97505,18.95397
MX17027,-98.91803,19.00044
MX17028,-99.23529,18.76190
MX17029,-99.05093,18.86995
MX17030,-98.85801,18.85251
MX17031,-99.20680,18.65471
MX17032,-98.75380,18.80687
MX17033,-98.79050,18.75923
MX18001,-105.25851,22.46476
MX18002,-104.57634,21.04111
MX18003,-104.40145,20.84847
MX18004,-105.05668,21.13135
MX18005,-105.24422,22.78854
MX18006,-104.30696,21.03343
MX18007,-104.39932,21.18407
MX18008,-104.96176,21.39086
MX18009,-104.65711,22.12907
MX18010,-105.20211,22.11753
MX18011,-104.96256,21.99110
MX18012,-105.47399,21.57126
MX18013,-104.74880,21.16107
MX18014,-104.59033,21.35649
MX18015,-105.32128,21.85492
MX18016,-105.51465,22.34234
MX18017,-104.84049,21.62159
MX18018,-105.37272,21.96024
MX18019,-104.15089,21.54282
MX18020,-105.27100,20.84647
MX19001,-100.40594,25.94054
MX19002,-99.70308,26.29871
MX19003,-99.27348,26.09151
MX19004,-100.02952,25.30143
MX19005,-100.02536,27.34214
MX19006,-100.18733,25.79228
MX19007,-99.88651,24.22512
MX19008,-100.56179,26.57171
MX19009,-99.91419,25.52459
MX19010,-100.35683,25.90075
MX19011,-99.70536,26.07232
MX19012,-100.18544,25.97746
MX19013,-98.97241,25.48016
MX19014,-100.30627,23.86011
MX19015,-99.03087,25.96409
MX19016,-99.80498,25.84925
MX19017,-100.39229,24.76051
MX19018,-100.65976,25.80901
MX19019,-100.37476,25.64460
MX19020,-98.84842,25.80331
MX19021,-100.35557,25.82197
MX19022,-99.41302,25.27587
MX19023,-99.44597,26.21265
MX19024,-99.74017,23.90103
MX19025,-100.13482,25.91139
MX19026,-100.20578,25.67265
MX19027,-99.41424,25.91608
MX19028,-99.99751,26.03317
MX19029,-99.67810,24.88379
MX19030,-99.84872,24.63842
MX19031,-100.12148,25.61409
MX19032,-100.41822,27.05084
MX19033,-99.52922,24.85177
MX19034,-99.96462,25.87452
MX19035,-99.49348,26.04892
MX19036,-100.16041,23.41792
MX19037,-100.78628,26.28558
MX19038,-99.80838,25.12631
MX19039,-100.31100,25.64479
MX19040,-99.60155,26.58304
MX19041,-99.97713,25.73677
MX19042,-99.58767,25.65331
MX19043,-100.12773,25.06582
MX19044,-100.14929,26.57510
MX19045,-100.27038,26.16107
MX19046,-100.27069,25.73606
MX19047,-100.45319,25.99940
MX19048,-100.48386,25.57461
MX19049,-100.23732,25.38490
MX19050,-99.88476,26.64811
MX19051,-100.34807,26.46970
MX20001,-96.63384,17.49015
MX20002,-96.53957,18.45215
MX20003,-95.92691,17.03383
MX20004,-97.65271,17.92950
MX20005,-94.95645,16.66198
MX20006,-97.16779,17.44802
MX20007,-96.72576,16.76289
MX20008,-95.76620,16.22612
MX20009,-96.16680,17.71464
MX20010,-95.04304,16.78828
MX20011,-98.25386,17.54573
MX20012,-96.52777,15.89777
MX20013,-96.76637,16.89378
MX20014,-95.08933,16.62339
MX20015,-96.63581,16.51405
MX20016,-98.21718,17.21602
MX20017,-96.85146,16.57980
MX20018,-97.44280,17.99030
MX20019,-96.85392,17.86769
MX20020,-98.01049,17.06146
MX20021,-96.66188,18.57987
MX20022,-97.80167,18.13804
MX20023,-96.80143,17.00696
MX20024,-96.85731,17.96613
MX20025,-94.20465,16.27390
MX20026,-97.56233,16.98683
MX20027,-96.74874,17.99247
MX20028,-96.73139,16.59658
MX20029,-96.86927,18.19465
MX20030,-95.03954,16.46717
MX20031,-96.02216,17.03726
MX20032,-98.12917,17.92988
MX20033,-96.80208,17.17716
MX20034,-98.16430,17.75445
MX20035,-96.49911,17.31468
MX20036,-95.38939,16.83877
MX20037,-98.00992,16.92233
MX20038,-96.16018,17.18117
MX20039,-97.79985,17.85515
MX20040,-96.78393,18.07266
MX20041,-96.79993,18.14455
MX20042,-96.33935,17.49464
MX20043,-94.93694,16.44282
MX20044,-95.89104,18.00083
MX20045,-96.81524,17.24715
MX20046,-97.24206,17.26116
MX20047,-97.48179,17.80661
MX20048,-96.90875,16.89634
MX20049,-96.71497,16.70859
MX20050,-97.55388,17.24046
MX20051,-96.55749,16.89017
MX20052,-95.65531,16.34777
MX20053,-95.25267,16.51084
MX20054,-97.22491,17.39044
MX20055,-98.12365,17.82753
MX20056,-98.23680,16.54212
MX20057,-94.99097,17.15560
MX20058,-96.91095,18.02936
MX20059,-96.64608,16.34838
MX20060,-96.10405,17.16539
MX20061,-96.63098,16.37316
MX20062,-96.42625,17.30173
MX20063,-96.82935,17.18118
MX20064,-95.79416,16.66869
MX20065,-98.01436,17.50416
MX20066,-94.58807,16.51982
MX20067,-96.72412,17.10211
MX20068,-96.70340,16.76179
MX20069,-96.79389,16.62350
MX20070,-97.96607,16.40368
MX20071,-96.42789,15.91937
MX20072,-96.66507,16.67208
MX20073,-97.89361,16.99831
MX20074,-96.27026,16.30918
MX20075,-94.44581,16.39253
MX20076,-97.86337,16.64765
MX20077,-96.81907,17.20994
MX20078,-96.63615,17.00241
MX20079,-95.22044,16.19369
MX20080,-96.81380,16.51379
MX20081,-97.99341,17.58917
MX20082,-97.80468,16.44971
MX20083,-96.68559,16.99197
MX20084,-96.71826,17.20126
MX20085,-96.62082,15.97618
MX20086,-97.51574,17.19827
MX20087,-96.67946,17.08070
MX20088,-97.79208,16.84744
MX20089,-97.68874,17.69853
MX20090,-97.91751,16.34478
MX20091,-96.66729,17.12746
MX20092,-96.86492,17.05878
MX20093,-97.52934,17.58947
MX20094,-97.06316,17.23396
MX20095,-96.52495,16.21169
MX20096,-97.29611,17.48469
MX20097,-96.22330,17.27677
MX20098,-96.59952,17.94476
MX20099,-98.38643,17.65937
MX20100,-96.13239,17.29031
MX20101,-96.86063,16.60105
MX20102,-96.90298,17.18420
MX20103,-96.69254,16.81394
MX20104,-97.04504,16.83406
MX20105,-97.74397,17.51848
MX20106,-97.49560,17.74289
MX20107,-96.69182,17.02411
MX20108,-97.14296,16.92059
MX20109,-97.16451,18.14615
MX20110,-97.57366,17.15316
MX20111,-98.04783,16.54070
MX20112,-96.50737,16.76633
MX20113,-96.79618,16.03601
MX20114,-96.21061,17.22041
MX20115,-96.69562,16.94114
MX20116,-96.67552,18.05008
MX20117,-96.75482,15.94385
MX20118,-96.50006,16.89673
MX20119,-97.45258,17.22398
MX20120,-96.24324,17.24528
MX20121,-97.31416,17.58442
MX20122,-95.92803,16.42550
MX20123,-96.91718,16.84442
MX20124,-95.14618,16.35789
MX20125,-95.96223,16.41468
MX20126,-96.38301,16.30732
MX20127,-97.58108,17.28238
MX20128,-96.17495,17.35144
MX20129,-97.38362,17.72542
MX20130,-94.72892,16.37451
MX20131,-96.30206,16.78092
MX20132,-96.66418,16.74991
MX20133,-97.69198,17.07693
MX20134,-96.53510,18.06965
MX20135,-96.88523,17.09290
MX20136,-96.50710,17.82029
MX20137,-97.36768,16.85808
MX20138,-96.26465,17.18086
MX20139,-96.74520,17.90557
MX20140,-97.31436,17.41701
MX20141,-94.43101,16.22024
MX20142,-96.93618,18.19524
MX20143,-94.51308,16.35269
MX20144,-97.27508,17.34649
MX20145,-96.59582,17.02635
MX20146,-96.38013,16.37343
MX20147,-97.33403,17.36333
MX20148,-96.20195,16.09336
MX20149,-96.90585,16.51416
MX20150,-96.92812,17.37211
MX20151,-97.54353,17.89041
MX20152,-98.26333,17.47637
MX20153,-97.04526,16.05062
MX20154,-96.45374,16.28939
MX20155,-96.95604,16.59193
MX20156,-96.13700,17.37385
MX20157,-96.75743,17.09537
MX20158,-97.36596,16.50327
MX20159,-96.96964,16.20445
MX20160,-97.86887,17.80673
MX20161,-97.03578,17.39055
MX20162,-96.57139,16.70405
MX20163,-96.92903,18.15380
MX20164,-98.09158,17.68914
MX20165,-97.97218,17.95442
MX20166,-96.12365,17.91468
MX20167,-96.49329,16.28058
MX20168,-98.25632,16.37784
MX20169,-96.64249,18.25763
MX20170,-96.33497,16.40157
MX20171,-96.66804,18.16085
MX20172,-97.50055,17.35001
MX20173,-96.48837,17.46411
MX20174,-96.71620,16.98732
MX20175,-96.76857,17.58890
MX20176,-97.26241,17.72061
MX20177,-96.96902,17.74117
MX20178,-96.75914,17.23800
MX20179,-96.80748,17.43918
MX20180,-98.34379,16.51487
MX20181,-97.64328,18.00001
MX20182,-96.59242,17.87301
MX20183,-98.32222,17.59071
MX20184,-96.09180,18.02784
MX20185,-98.16342,16.64172
MX20186,-98.27072,17.86541
MX20187,-96.72865,18.05825
MX20188,-97.91067,16.49515
MX20189,-95.95656,17.32899
MX20190,-95.49678,17.31835
MX20191,-96.50734,17.27922
MX20192,-96.67165,16.82826
MX20193,-96.77925,17.32944
MX20194,-96.16135,16.89178
MX20195,-97.38965,17.27778
MX20196,-96.53932,17.40091
MX20197,-96.54153,16.95391
MX20198,-95.11217,17.05407
MX20199,-98.29025,17.76435
MX20200,-95.89104,16.87466
MX20201,-96.30173,17.32401
MX20202,-97.11697,16.20929
MX20203,-96.54578,16.56843
MX20204,-95.91791,16.51142
MX20205,-95.79131,17.49330
MX20206,-97.03924,18.04434
MX20207,-95.42077,17.13203
MX20208,-97.85588,17.33770
MX20209,-96.31318,16.24669
MX20210,-97.75489,17.42614
MX20211,-96.20880,16.10686
MX20212,-96.04773,17.48993
MX20213,-97.35483,16.34209
MX20214,-96.62625,17.66273
MX20215,-97.29179,17.44830
MX20216,-96.21851,17.31861
MX20217,-97.17102,17.11641
MX20218,-97.43002,17.07741
MX20219,-96.59774,16.89454
MX20220,-96.76249,17.73966
MX20221,-97.41576,17.58726
MX20222,-96.27995,17.44199
MX20223,-96.18215,17.41051
MX20224,-97.26898,17.52343
MX20225,-97.87786,16.41123
MX20226,-96.23848,16.89102
MX20227,-96.80356,17.12904
MX20228,-96.91728,18.21635
MX20229,-97.18647,16.52687
MX20230,-98.12383,17.63190
MX20231,-95.68977,16.93781
MX20232,-96.36252,18.03424
MX20233,-96.45350,16.87930
MX20234,-96.91589,18.11234
MX20235,-96.47893,16.45327
MX20236,-96.40399,16.04058
MX20237,-97.90380,17.73751
MX20238,-96.72607,16.65605
MX20239,-97.60896,17.39630
MX20240,-97.85578,17.21736
MX20241,-96.85418,16.61638
MX20242,-98.24503,17.36169
MX20243,-96.69192,16.87575
MX20244,-97.03090,18.10740
MX20245,-98.07095,17.81655
MX20246,-96.19697,17.15297
MX20247,-96.42088,17.31805
MX20248,-95.04771,16.20927
MX20249,-96.86895,18.14118
MX20250,-97.26291,17.42259
MX20251,-98.42139,17.64689
MX20252,-97.49478,17.14499
MX20253,-96.33879,15.97173
MX20254,-96.52523,16.12131
MX20255,-97.37111,17.00395
MX20256,-97.42951,17.80505
MX20257,-96.15076,17.24589
MX20258,-97.47352,17.30661
MX20259,-98.33213,17.68289
MX20260,-96.70427,17.43390
MX20261,-98.01944,17.88672
MX20262,-96.45641,17.20015
MX20263,-96.68014,16.16663
MX20264,-97.19822,17.62681
MX20265,-94.40986,16.65253
MX20266,-96.09628,15.94529
MX20267,-96.57439,17.32747
MX20268,-96.73661,16.59619
MX20269,-97.61587,17.07855
MX20270,-97.14618,17.75444
MX20271,-96.94786,16.75755
MX20272,-97.40049,16.23866
MX20273,-97.00974,16.94320
MX20274,-97.21636,16.98106
MX20275,-95.78022,16.97567
MX20276,-96.79768,17.91987
MX20277,-97.05818,16.51321
MX20278,-96.43942,18.25247
MX20279,-96.45843,16.08017
MX20280,-96.23184,17.36739
MX20281,-97.29105,17.37886
MX20282,-95.54782,16.23193
MX20283,-97.31488,17.82419
MX20284,-96.56436,16.77563
MX20285,-98.10827,16.44046
MX20286,-98.01070,17.44226
MX20287,-97.44601,17.75369
MX20288,-96.35341,17.34811
MX20289,-96.74466,16.43096
MX20290,-98.13262,17.77630
MX20291,-96.79001,16.17026
MX20292,-96.93903,16.94818
MX20293,-96.73375,17.16366
MX20294,-96.87360,17.30975
MX20295,-96.80660,16.81801
MX20296,-96.52162,17.52171
MX20297,-97.47129,17.00754
MX20298,-96.29489,16.96880
MX20299,-96.21716,17.12509
MX20300,-98.08367,16.67749
MX20301,-96.73403,16.74127
MX20302,-97.96946,16.51881
MX20303,-96.26206,17.16344
MX20304,-97.10983,17.52117
MX20305,-95.16654,16.46362
MX20306,-96.47169,16.01582
MX20307,-95.78208,15.97443
MX20308,-95.14752,16.24286
MX20309,-96.55145,18.15914
MX20310,-96.82695,17.05270
MX20311,-97.02658,17.68676
MX20312,-98.04210,16.46950
MX20313,-97.07150,17.75925
MX20314,-97.10907,16.31916
MX20315,-96.70425,16.74831
MX20316,-96.25359,16.44216
MX20317,-97.64381,17.45009
MX20318,-97.06951,15.94973
MX20319,-96.20958,16.21879
MX20320,-97.55184,17.10392
MX20321,-97.57686,17.81050
MX20322,-96.91129,18.18336
MX20323,-95.84079,16.97177
MX20324,-96.41281,15.78945
MX20325,-96.03445,16.76727
MX20326,-96.64090,17.81952
MX20327,-94.19122,16.30816
MX20328,-96.53397,16.64391
MX20329,-97.27480,16.99571
MX20330,-96.62867,17.99028
MX20331,-97.39130,17.33735
MX20332,-97.35744,17.45525
MX20333,-96.22921,16.66284
MX20334,-97.53482,16.08038
MX20335,-96.38067,17.42313
MX20336,-96.47947,17.63339
MX20337,-96.13498,17.02174
MX20338,-96.79318,17.19519
MX20339,-97.50641,17.50787
MX20340,-97.70629,18.08849
MX20341,-97.48085,17.57723
MX20342,-96.75475,16.98200
MX20343,-96.60332,16.98468
MX20344,-96.87125,16.08851
MX20345,-98.14954,16.52593
MX20346,-97.67439,17.51996
MX20347,-96.42338,16.20508
MX20348,-98.09364,17.34524
MX20349,-96.63342,16.95177
MX20350,-96.67971,17.04530
MX20351,-96.72652,16.40190
MX20352,-97.99814,17.83536
MX20353,-96.73028,16.33427
MX20354,-96.88847,18.22475
MX20355,-96.80116,17.98978
MX20356,-96.46540,17.01152
MX20357,-95.88381,16.60425
MX20358,-96.86156,16.74308
MX20359,-96.62215,17.39622
MX20360,-96.73193,16.83640
MX20361,-96.24175,16.32961
MX20362,-96.64821,16.29492
MX20363,-96.57709,17.21380
MX20364,-97.29619,16.17734
MX20365,-96.49846,17.18051
MX20366,-96.71877,16.07096
MX20367,-97.83913,16.33971
MX20368,-96.61269,16.79147
MX20369,-96.73208,16.88335
MX20370,-97.55142,17.33469
MX20371,-97.53435,17.06185
MX20372,-97.67265,17.00782
MX20373,-97.55663,18.02075
MX20374,-96.88305,18.15750
MX20375,-96.68509,17.04859
MX20376,-98.21534,17.57055
MX20377,-97.68136,16.72821
MX20378,-96.90534,16.79000
MX20379,-97.71832,17.15490
MX20380,-96.58383,16.95251
MX20381,-98.16438,17.82144
MX20382,-97.46236,16.91813
MX20383,-97.56795,17.37670
MX20384,-96.67814,16.33731
MX20385,-96.74860,17.01902
MX20386,-97.48478,16.46935
MX20387,-96.79318,16.78172
MX20388,-96.85463,16.92174
MX20389,-96.75894,16.80582
MX20390,-96.69111,17.06498
MX20391,-96.62066,16.18082
MX20392,-97.73215,16.94319
MX20393,-96.66866,16.72468
MX20394,-95.84652,17.07918
MX20395,-97.08021,17.62471
MX20396,-96.81726,18.10335
MX20397,-97.69139,17.23139
MX20398,-96.89208,16.67746
MX20399,-96.78645,17.08820
MX20400,-97.64995,17.86962
MX20401,-96.92199,15.86206
MX20402,-98.31271,16.42893
MX20403,-96.71020,16.97062
MX20404,-97.26065,17.56576
MX20405,-97.63801,17.59384
MX20406,-96.74620,18.29307
MX20407,-94.38860,16.94692
MX20408,-97.60512,17.34369
MX20409,-96.63430,17.02924
MX20410,-95.86506,16.23336
MX20411,-96.61278,16.99284
MX20412,-95.35195,16.73667
MX20413,-96.22349,15.79646
MX20414,-97.92636,16.20881
MX20415,-97.99832,16.61488
MX20416,-97.15842,17.85042
MX20417,-96.13158,17.84985
MX20418,-95.47423,16.51582
MX20419,-96.54173,17.36274
MX20420,-97.04093,16.73757
MX20421,-95.27547,16.42469
MX20422,-97.33241,17.64629
MX20423,-97.50136,17.40771
MX20424,-96.34927,16.09912
MX20425,-96.78378,17.80729
MX20426,-97.03343,17.04844
MX20427,-95.07198,16.88462
MX20428,-96.05190,16.30455
MX20429,-97.02992,16.56093
MX20430,-97.39526,17.13752
MX20431,-97.09896,17.95356
MX20432,-96.15810,17.37900
MX20433,-97.18103,16.16478
MX20434,-96.97159,18.17420
MX20435,-95.98912,16.95131
MX20436,-97.05049,17.72237
MX20437,-96.05368,17.11428
MX20438,-96.73712,17.92137
MX20439,-96.68186,15.77296
MX20440,-95.61527,16.62293
MX20441,-95.02639,16.36349
MX20442,-96.29629,17.27107
MX20443,-96.41136,17.20118
MX20444,-97.46031,16.88221
MX20445,-97.50000,17.10744
MX20446,-97.80328,17.03512
MX20447,-97.97374,16.77872
MX20448,-97.35910,16.64276
MX20449,-96.37041,16.55904
MX20450,-97.52084,16.63156
MX20451,-97.13619,17.64969
MX20452,-96.72732,16.79619
MX20453,-95.61215,15.97758
MX20454,-95.92169,17.09626
MX20455,-97.97432,17.91950
MX20456,-97.73445,17.73110
MX20457,-96.16646,17.52749
MX20458,-96.39464,17.61592
MX20459,-97.71939,18.19986
MX20460,-95.91607,17.37643
MX20461,-98.10138,17.43084
MX20462,-97.68911,17.80345
MX20463,-97.04697,17.48626
MX20464,-97.44830,17.88109
MX20465,-95.58207,16.92771
MX20466,-97.69832,16.53818
MX20467,-97.78517,16.20230
MX20468,-95.98259,17.65574
MX20469,-98.01877,17.19417
MX20470,-95.52612,16.77369
MX20471,-96.25065,17.41453
MX20472,-95.26114,16.62311
MX20473,-96.32594,17.20042
MX20474,-98.26082,16.48537
MX20475,-96.42275,16.82978
MX20476,-97.71957,17.98174
MX20477,-97.26635,16.43954
MX20478,-96.91203,17.52329
MX20479,-97.38695,17.42836
MX20480,-97.70130,17.33507
MX20481,-97.75979,17.00647
MX20482,-98.12090,16.29409
MX20483,-96.91039,17.23132
MX20484,-98.23470,17.73407
MX20485,-98.46598,16.33310
MX20486,-97.46376,17.66620
MX20487,-96.99858,17.28942
MX20488,-97.39734,17.79208
MX20489,-97.67743,16.34169
MX20490,-96.97875,18.21513
MX20491,-97.30915,16.72113
MX20492,-97.35343,17.21022
MX20493,-97.31488,17.46770
MX20494,-96.97126,17.02713
MX20495,-96.21861,16.00453
MX20496,-96.39380,17.27238
MX20497,-97.23789,16.20856
MX20498,-95.49063,17.49927
MX20499,-97.57444,17.46982
MX20500,-97.53114,16.85048
MX20501,-98.22060,17.61436
MX20502,-95.88493,17.19425
MX20503,-96.25157,17.21686
MX20504,-96.64658,17.26107
MX20505,-94.73156,16.57961
MX20506,-96.21036,17.07122
MX20507,-98.36462,16.32897
MX20508,-95.17369,16.62998
MX20509,-96.63441,15.83355
MX20510,-97.52395,16.90909
MX20511,-97.06675,17.17380
MX20512,-96.31441,16.17597
MX20513,-95.21867,16.85408
MX20514,-96.07091,17.33222
MX20515,-95.39161,16.22176
MX20516,-97.27723,16.57573
MX20517,-96.07778,16.93255
MX20518,-97.34052,17.40180
MX20519,-96.59089,17.07202
MX20520,-97.98596,17.68135
MX20521,-97.35339,17.60727
MX20522,-96.29135,17.12522
MX20523,-97.34822,17.53297
MX20524,-97.70073,17.63446
MX20525,-94.33232,16.46454
MX20526,-97.18832,16.08075
MX20527,-96.87526,17.79368
MX20528,-97.95026,17.42283
MX20529,-98.00591,17.77241
MX20530,-96.63769,16.86657
MX20531,-96.91193,17.14687
MX20532,-97.78217,17.11442
MX20533,-96.58044,16.24183
MX20534,-96.83352,16.37277
MX20535,-97.03822,16.65242
MX20536,-97.43560,17.43035
MX20537,-98.14392,17.56075
MX20538,-96.53879,16.36024
MX20539,-96.82630,17.16067
MX20540,-97.58023,17.69030
MX20541,-96.29401,17.38414
MX20542,-96.76931,16.57131
MX20543,-97.53494,16.30965
MX20544,-96.67070,17.32776
MX20545,-97.11221,18.10738
MX20546,-96.51729,17.05567
MX20547,-97.53851,17.74864
MX20548,-97.30109,18.00688
MX20549,-97.85850,17.58224
MX20550,-96.54870,17.00772
MX20551,-96.35935,16.87358
MX20552,-97.47554,17.87201
MX20553,-96.61639,17.09413
MX20554,-96.02113,17.24502
MX20555,-96.79236,16.92951
MX20556,-97.50147,17.77718
MX20557,-94.82312,16.48737
MX20558,-96.98823,17.76505
MX20559,-96.33477,17.79731
MX20560,-96.38020,17.05789
MX20561,-96.44800,16.70865
MX20562,-97.39501,17.37853
MX20563,-96.79782,16.44235
MX20564,-97.29644,17.07731
MX20565,-96.76657,16.94968
MX20566,-97.38217,16.78048
MX20567,-98.39696,17.77617
MX20568,-97.83489,17.88251
MX20569,-97.14140,17.27489
MX20570,-97.03469,16.78025
MX21001,-97.93983,19.10330
MX21002,-97.22980,20.10915
MX21003,-98.10640,18.15893
MX21004,-97.76498,19.02611
MX21005,-98.67909,18.75939
MX21006,-97.86768,20.02695
MX21007,-98.28281,18.57566
MX21008,-98.13362,20.06116
MX21009,-98.19112,18.23129
MX21010,-97.12561,18.42157
MX21011,-98.54711,18.01069
MX21012,-97.51742,19.10260
MX21013,-97.30037,18.35634
MX21014,-97.80068,20.05581
MX21015,-98.05311,19.04728
MX21016,-97.93024,19.77229
MX21017,-97.44091,19.81168
MX21018,-97.69008,18.37557
MX21019,-98.45229,18.89907
MX21020,-97.90907,18.80601
MX21021,-98.54172,18.54704
MX21022,-98.60777,18.82308
MX21023,-97.30399,18.93379
MX21024,-98.39351,18.18468
MX21025,-97.40878,20.08399
MX21026,-98.47622,19.10644
MX21027,-97.48684,18.14269
MX21028,-97.75295,20.03083
MX21029,-97.60630,20.07349
MX21030,-97.73105,20.05515
MX21031,-98.16492,18.57117
MX21032,-98.78853,18.19049
MX21033,-98.71821,18.74582
MX21034,-98.29175,19.13523
MX21035,-97.11723,18.24559
MX21036,-96.96594,18.28235
MX21037,-97.81295,18.40133
MX21038,-97.82638,18.92019
MX21039,-97.79213,19.91357
MX21040,-98.04510,18.96165
MX21041,-98.25608,19.11672
MX21042,-98.18899,18.44567
MX21043,-97.50058,20.02798
MX21044,-97.57326,19.59666
MX21045,-97.42971,18.97734
MX21046,-97.40364,18.63964
MX21047,-98.60062,18.27650
MX21048,-98.51334,19.19560
MX21049,-97.96598,20.08875
MX21050,-97.07009,19.20472
MX21051,-98.62591,18.51037
MX21052,-98.05935,18.64880
MX21053,-98.13474,19.82102
MX21054,-97.43656,19.73556
MX21055,-97.87924,17.96025
MX21056,-98.47001,18.13956
MX21057,-98.23888,20.26016
MX21058,-97.21356,19.25827
MX21059,-98.27959,18.23293
MX21060,-98.44114,19.13217
MX21061,-96.92670,18.50678
MX21062,-98.37626,18.61559
MX21063,-97.36463,18.85903
MX21064,-97.81316,20.71054
MX21065,-97.66751,19.02072
MX21066,-98.15115,18.04838
